date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:57	77251/77251	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:12:51%20GMT	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-31402213622443591	C:/Users/User/Downloads/Compressed/google/accounts.google.com/ServiceLogin00be.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:59	371763/371763	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:12:54%20GMT	https://accounts.google.com/SignUpWithoutGmail?dsh=-31402213622443591&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID	C:/Users/User/Downloads/Compressed/google/accounts.google.com/SignUpWithoutGmailde3c.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:59	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.258e05.delayed	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:59	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id&privacy=true	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.26c7d4.delayed	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:59	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.278e05.delayed	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:13:00	180/180	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	http://www.gstatic.com/images/icons/material/system/2x/keyboard_arrow_down_white_24dp.png	C:/Users/User/Downloads/Compressed/google/www.gstatic.com/images/icons/material/system/2x/keyboard_arrow_down_white_24dp.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:13:00	53655/53655	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:12:54%20GMT	https://accounts.google.com/signin/recovery?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1	C:/Users/User/Downloads/Compressed/google/accounts.google.com/signin/recoveryb407.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:13:00	1619/1619	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Mar%202021%2006:12:57%20GMT	https://accounts.google.com/POST	C:/Users/User/Downloads/Compressed/google/accounts.google.com/POST.29.delayed	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:13:01	1619/1619	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Mar%202021%2006:12:57%20GMT	https://accounts.google.com/GET	C:/Users/User/Downloads/Compressed/google/accounts.google.com/GET.2a.delayed	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:13:02	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id&privacy=true	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.2bc7d4.delayed	(from https://accounts.google.com/signin/usernamerecovery?hl=id)
13:13:02	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.2c8e05.delayed	(from https://accounts.google.com/signin/usernamerecovery?hl=id)
13:13:03	78459/78459	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:12:59%20GMT	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-2935057659775647752	C:/Users/User/Downloads/Compressed/google/accounts.google.com/ServiceLogin02b9.html	(from https://accounts.google.com/SignUp?hl=id)
13:13:03	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.2f8e05.delayed	(from https://accounts.google.com/SignUp?hl=id)
13:13:03	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id&privacy=true	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.30c7d4.delayed	(from https://accounts.google.com/SignUp?hl=id)
13:13:03	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.318e05.delayed	(from https://accounts.google.com/SignUp?hl=id)
